Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#0_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#0_blood_extract-20	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-20_blood_GC_neg_run-0	20	GC	Agilent QTOF	negative	acquired-data-20_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#1_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#1_blood_extract-21	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-21_blood_GC_neg_run-0	21	GC	Agilent QTOF	negative	acquired-data-21_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#2_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#2_blood_extract-22	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-22_blood_GC_neg_run-0	22	GC	Agilent QTOF	negative	acquired-data-22_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#3_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#3_blood_extract-23	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-23_blood_GC_neg_run-0	23	GC	Agilent QTOF	negative	acquired-data-23_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#0_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#0_blood_extract-24	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-24_blood_GC_neg_run-0	24	GC	Agilent QTOF	negative	acquired-data-24_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#1_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#1_blood_extract-25	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-25_blood_GC_neg_run-0	25	GC	Agilent QTOF	negative	acquired-data-25_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#2_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#2_blood_extract-26	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-26_blood_GC_neg_run-0	26	GC	Agilent QTOF	negative	acquired-data-26_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#3_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#3_blood_extract-27	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-27_blood_GC_neg_run-0	27	GC	Agilent QTOF	negative	acquired-data-27_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#0_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#0_blood_extract-28	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-28_blood_GC_neg_run-0	28	GC	Agilent QTOF	negative	acquired-data-28_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#1_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#1_blood_extract-29	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-29_blood_GC_neg_run-0	29	GC	Agilent QTOF	negative	acquired-data-29_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#2_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#2_blood_extract-30	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-30_blood_GC_neg_run-0	30	GC	Agilent QTOF	negative	acquired-data-30_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#3_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#3_blood_extract-31	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-31_blood_GC_neg_run-0	31	GC	Agilent QTOF	negative	acquired-data-31_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#0_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#0_blood_extract-32	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-32_blood_GC_neg_run-0	32	GC	Agilent QTOF	negative	acquired-data-32_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#1_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#1_blood_extract-33	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-33_blood_GC_neg_run-0	33	GC	Agilent QTOF	negative	acquired-data-33_platform-GC_negative_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#2_blood	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#2_blood_extract-34	GC-negative mass spectrometry	29/08/2019	Bob	assay-name-34_blood_GC_neg_run-0	34	GC	Agilent QTOF	negative	acquired-data-34_platform-GC_negative_run-0.mzml.gz
