disk_size,size,log_size,category,study_id
8976,11075,9.312445594913337,DataFrame,synthetic-isa-1sample-6assays
18561,21974,9.997615215260826,DataFrame,synthetic-isa-3samples-6assays
18561,21974,9.997615215260826,DataFrame,synthetic-isa-3samples-6assays
18561,21974,9.997615215260826,DataFrame,synthetic-isa-3samples-6assays
14886,16944,9.737669067841187,DataFrame,synthetic-isa-3samples-6assays
18841,22254,10.010277046717645,DataFrame,synthetic-isa-2samples-1assay
14726,16784,9.728181330636078,DataFrame,synthetic-isa-3samples-6assays
14566,16624,9.718602713339008,DataFrame,synthetic-isa-3samples-6assays
14726,16784,9.728181330636078,DataFrame,synthetic-isa-3samples-6assays
14726,16784,9.728181330636078,DataFrame,synthetic-isa-3samples-6assays
14886,16944,9.737669067841187,DataFrame,synthetic-isa-3samples-6assays
14566,16624,9.718602713339008,DataFrame,synthetic-isa-3samples-6assays
14726,16784,9.728181330636078,DataFrame,synthetic-isa-3samples-6assays
14566,16624,9.718602713339008,DataFrame,synthetic-isa-3samples-6assays
14726,16784,9.728181330636078,DataFrame,synthetic-isa-3samples-6assays
14726,16784,9.728181330636078,DataFrame,synthetic-isa-3samples-6assays
9016,11115,9.316050826398296,DataFrame,synthetic-isa-1sample-4assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-4assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-4assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-4assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-4assay
9016,11115,9.316050826398296,DataFrame,synthetic-isa-1sample-2assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-2assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-2assay
17796,22135,10.004915345166241,DataFrame,synthetic-isa-2samples-1assay
18801,22214,10.008477999727065,DataFrame,synthetic-isa-2samples-1assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-3samples-6assays
14486,16544,9.713778777308155,DataFrame,synthetic-isa-3samples-6assays
14566,16624,9.718602713339008,DataFrame,synthetic-isa-3samples-6assays
18841,22254,10.010277046717645,DataFrame,synthetic-isa-3samples-1assay
14646,16704,9.723403490682365,DataFrame,synthetic-isa-3samples-6assays
26597,33176,10.409582001926218,DataFrame,synthetic-isa-3samples-1assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-6assays
18841,22254,10.010277046717645,DataFrame,synthetic-isa-3samples-1assay
18561,21974,9.997615215260826,DataFrame,synthetic-isa-1sample-6assays
