Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#0_tears_extract-20	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-20_tears_GC_pos_run-0	20	GC	Agilent QTOF	positive	acquired-data-20_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#1_tears_extract-21	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-21_tears_GC_pos_run-0	21	GC	Agilent QTOF	positive	acquired-data-21_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#2_tears_extract-22	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-22_tears_GC_pos_run-0	22	GC	Agilent QTOF	positive	acquired-data-22_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#3_tears_extract-23	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-23_tears_GC_pos_run-0	23	GC	Agilent QTOF	positive	acquired-data-23_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#0_tears_extract-24	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-24_tears_GC_pos_run-0	24	GC	Agilent QTOF	positive	acquired-data-24_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#1_tears_extract-25	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-25_tears_GC_pos_run-0	25	GC	Agilent QTOF	positive	acquired-data-25_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#2_tears_extract-26	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-26_tears_GC_pos_run-0	26	GC	Agilent QTOF	positive	acquired-data-26_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#3_tears_extract-27	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-27_tears_GC_pos_run-0	27	GC	Agilent QTOF	positive	acquired-data-27_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#0_tears_extract-28	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-28_tears_GC_pos_run-0	28	GC	Agilent QTOF	positive	acquired-data-28_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#1_tears_extract-29	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-29_tears_GC_pos_run-0	29	GC	Agilent QTOF	positive	acquired-data-29_platform-GC_positive_tears_run-0.mzml.gz
