Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#0_tears_extract-20	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-20_tears_FIA_neg_run-0	20	FIA	Agilent QTOF	negative	acquired-data-20_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#1_tears_extract-21	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-21_tears_FIA_neg_run-0	21	FIA	Agilent QTOF	negative	acquired-data-21_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#2_tears_extract-22	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-22_tears_FIA_neg_run-0	22	FIA	Agilent QTOF	negative	acquired-data-22_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#0_sample#3_tears_extract-23	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-23_tears_FIA_neg_run-0	23	FIA	Agilent QTOF	negative	acquired-data-23_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#0_tears_extract-24	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-24_tears_FIA_neg_run-0	24	FIA	Agilent QTOF	negative	acquired-data-24_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#1_tears_extract-25	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-25_tears_FIA_neg_run-0	25	FIA	Agilent QTOF	negative	acquired-data-25_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#2_tears_extract-26	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-26_tears_FIA_neg_run-0	26	FIA	Agilent QTOF	negative	acquired-data-26_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#1_sample#3_tears_extract-27	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-27_tears_FIA_neg_run-0	27	FIA	Agilent QTOF	negative	acquired-data-27_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#0_tears_extract-28	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-28_tears_FIA_neg_run-0	28	FIA	Agilent QTOF	negative	acquired-data-28_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#1_tears_extract-29	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-29_tears_FIA_neg_run-0	29	FIA	Agilent QTOF	negative	acquired-data-29_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#2_tears_extract-30	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-30_tears_FIA_neg_run-0	30	FIA	Agilent QTOF	negative	acquired-data-30_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#3_tears_extract-31	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-31_tears_FIA_neg_run-0	31	FIA	Agilent QTOF	negative	acquired-data-31_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#0_tears_extract-32	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-32_tears_FIA_neg_run-0	32	FIA	Agilent QTOF	negative	acquired-data-32_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#1_tears_extract-33	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-33_tears_FIA_neg_run-0	33	FIA	Agilent QTOF	negative	acquired-data-33_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#2_tears_extract-34	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-34_tears_FIA_neg_run-0	34	FIA	Agilent QTOF	negative	acquired-data-34_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#3_tears_extract-35	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-35_tears_FIA_neg_run-0	35	FIA	Agilent QTOF	negative	acquired-data-35_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#0_tears_extract-36	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-36_tears_FIA_neg_run-0	36	FIA	Agilent QTOF	negative	acquired-data-36_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#1_tears_extract-37	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-37_tears_FIA_neg_run-0	37	FIA	Agilent QTOF	negative	acquired-data-37_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#2_tears_extract-38	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-38_tears_FIA_neg_run-0	38	FIA	Agilent QTOF	negative	acquired-data-38_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#3_tears_extract-39	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-39_tears_FIA_neg_run-0	39	FIA	Agilent QTOF	negative	acquired-data-39_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#0_tears_extract-0	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-0_tears_FIA_neg_run-0	0	FIA	Agilent QTOF	negative	acquired-data-0_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#1_tears_extract-1	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-1_tears_FIA_neg_run-0	1	FIA	Agilent QTOF	negative	acquired-data-1_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#2_tears_extract-2	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-2_tears_FIA_neg_run-0	2	FIA	Agilent QTOF	negative	acquired-data-2_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#3_tears_extract-3	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-3_tears_FIA_neg_run-0	3	FIA	Agilent QTOF	negative	acquired-data-3_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#0_tears_extract-4	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-4_tears_FIA_neg_run-0	4	FIA	Agilent QTOF	negative	acquired-data-4_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#1_tears_extract-5	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-5_tears_FIA_neg_run-0	5	FIA	Agilent QTOF	negative	acquired-data-5_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#2_tears_extract-6	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-6_tears_FIA_neg_run-0	6	FIA	Agilent QTOF	negative	acquired-data-6_platform-FIA_negative_tears_run-0.mzml.gz
